ax,ay,az,gx,gy,gz
0.2298,2.6145,-4.3479,-3.4400,1.2921,0.1719
3.0287,12.5887,-5.0326,-1.8698,1.4075,0.6328
5.9879,3.1819,0.3783,-0.7189,0.5233,1.7736
8.8011,4.9775,-1.5155,-0.7810,0.1274,0.8985
8.1211,5.0996,2.4493,0.6816,0.1332,-0.2206
11.6382,1.3408,-0.1628,0.3336,0.0754,0.3680
12.2607,5.3510,0.7446,0.4850,0.0562,1.3166
9.6486,-6.8738,0.2466,0.1132,-0.2422,2.2660
6.3925,-3.1412,-0.6153,-0.0530,0.3405,-0.1460
10.2711,-3.5985,-3.4524,-0.6747,-0.9713,0.4860
11.5041,-8.0373,-3.4453,0.1855,-0.2126,1.5950
6.1339,-6.0478,-0.6369,0.9036,0.0274,0.9411
5.1787,-5.3008,0.0359,-0.5974,0.5886,0.6499
5.8538,-6.7852,-0.5770,-0.4636,0.7485,0.0091
5.1116,-8.3103,-0.2227,0.0104,0.1756,0.2838
6.0310,-7.7141,-0.6297,0.2955,0.0632,0.0341
5.7796,-7.8961,-0.5674,0.2230,0.1295,-0.2662
6.7325,-7.4316,0.3017,0.3184,0.0648,-0.9028
8.1092,-5.4947,1.1612,0.1300,0.0789,-1.1442
7.9703,-3.2202,0.8260,-0.5260,0.5108,-0.2987
8.9280,-3.8882,0.8140,0.2078,0.0005,-0.1601
9.8210,-4.0031,0.6009,0.3701,-0.0637,-0.1319
9.1770,-3.6775,1.1037,-0.1223,-0.1772,-0.0077
9.5026,-3.7302,0.4405,-0.0877,0.0064,0.0581
9.5265,-2.8276,0.5507,-0.1450,0.0304,-0.2382
9.7420,-3.6488,0.8954,0.6110,0.2795,-0.3054
9.4954,-3.0885,-0.2538,-0.1620,0.0613,-0.0312
Samples stored: 49
9.8186,0.4214,1.5826,0.0245,0.0165,-0.0653
10.0892,-0.3208,1.4676,0.1266,-0.1207,0.1735
10.2568,-0.1101,1.1779,0.2030,-0.1146,0.0514
10.1442,-0.0551,1.1372,0.1988,-0.0384,0.0650
10.7859,-1.7023,1.1875,0.3818,-0.0373,0.1282
9.2751,-1.2258,0.0934,-0.0120,0.0490,-0.0703
9.6391,-0.6345,0.3543,-0.5353,0.1340,0.1455
10.0916,1.0822,-0.1317,-0.3621,0.2134,-0.0490
8.7867,1.0678,1.1013,0.2531,0.5020,0.2038
8.2624,-0.8260,2.3966,0.5905,0.7139,0.5564
7.1299,-1.5538,4.8602,-0.5780,0.9377,0.3416
4.4628,-4.8315,2.5211,-1.7096,1.6510,0.4986
3.8020,-8.9495,2.7294,-2.4573,2.0294,0.7333
-0.2658,-12.8353,-1.3216,-2.7416,2.2068,1.7368
-2.0518,-9.6989,-2.0255,-1.8431,1.4501,0.0749
4.4077,-9.6941,-7.2616,-3.1059,0.7639,-0.6342
4.7956,-5.5474,-9.5385,-3.6327,0.4191,0.1684
0.2298,2.6145,-4.3479,-3.4400,1.2921,0.1719
3.0287,12.5887,-5.0326,-1.8698,1.4075,0.6328
5.9879,3.1819,0.3783,-0.7189,0.5233,1.7736
8.8011,4.9775,-1.5155,-0.7810,0.1274,0.8985
8.1211,5.0996,2.4493,0.6816,0.1332,-0.2206
11.6382,1.3408,-0.1628,0.3336,0.0754,0.3680
12.2607,5.3510,0.7446,0.4850,0.0562,1.3166
9.6486,-6.8738,0.2466,0.1132,-0.2422,2.2660
6.3925,-3.1412,-0.6153,-0.0530,0.3405,-0.1460
10.2711,-3.5985,-3.4524,-0.6747,-0.9713,0.4860
11.5041,-8.0373,-3.4453,0.1855,-0.2126,1.5950
6.1339,-6.0478,-0.6369,0.9036,0.0274,0.9411
5.1787,-5.3008,0.0359,-0.5974,0.5886,0.6499
5.8538,-6.7852,-0.5770,-0.4636,0.7485,0.0091
5.1116,-8.3103,-0.2227,0.0104,0.1756,0.2838
6.0310,-7.7141,-0.6297,0.2955,0.0632,0.0341
5.7796,-7.8961,-0.5674,0.2230,0.1295,-0.2662
6.7325,-7.4316,0.3017,0.3184,0.0648,-0.9028
8.1092,-5.4947,1.1612,0.1300,0.0789,-1.1442
7.9703,-3.2202,0.8260,-0.5260,0.5108,-0.2987
8.9280,-3.8882,0.8140,0.2078,0.0005,-0.1601
9.8210,-4.0031,0.6009,0.3701,-0.0637,-0.1319
9.1770,-3.6775,1.1037,-0.1223,-0.1772,-0.0077
9.5026,-3.7302,0.4405,-0.0877,0.0064,0.0581
9.5265,-2.8276,0.5507,-0.1450,0.0304,-0.2382
9.7420,-3.6488,0.8954,0.6110,0.2795,-0.3054
9.4954,-3.0885,-0.2538,-0.1620,0.0613,-0.0312
10.0149,-1.7334,-0.2825,0.0181,-0.0850,0.1490
10.8433,-3.1292,-0.3543,0.2406,0.0493,0.1652
9.5409,-2.8467,-0.1293,0.1239,0.1175,0.1343
9.1866,-2.9856,-0.0383,0.0837,0.0927,0.0850
9.4786,-2.8204,0.2634,0.2121,0.1175,-0.0338
