ax,ay,az,gx,gy,gz
Samples stored: 73
6.8019,-8.8107,-3.1340,0.0075,0.1708,0.3317
6.5817,-10.6877,-3.2753,0.1375,0.1897,0.3203
6.2441,-9.2320,-1.7741,-0.1852,0.4874,0.2598
4.0534,-7.5226,-0.9960,0.0333,0.1332,-0.1604
4.5250,-6.6152,-0.5243,0.1029,0.1924,-0.2262
5.2409,-6.1268,0.8811,-0.0823,0.2145,-0.1689
4.4724,-7.7572,0.1628,-0.0546,0.1047,0.1711
4.3646,-8.5880,-0.8643,-0.0687,-0.0687,-0.0687
6.5936,-8.4420,-2.0877,-0.0826,0.0266,0.1777
5.8131,-8.5114,-1.7190,-0.2475,0.4005,0.1426
5.6934,-7.2305,-2.0853,-0.1082,0.2542,0.0381
5.8299,-7.7644,-1.9465,0.0051,0.2521,0.0496
6.1339,-7.6160,-1.9106,0.1644,0.2417,-0.0248
5.8347,-7.5154,-1.6065,0.1543,0.1756,-0.0458
5.9687,-7.8793,-1.4198,0.1234,0.1045,0.0035
5.8299,-7.5705,-1.4269,0.2150,0.0400,0.0242
5.9903,-7.7764,-1.2665,0.1090,0.0592,0.1143
6.0693,-7.8985,-1.4676,0.0394,0.1063,0.1679
5.6838,-7.5729,-1.4844,-0.1804,0.3099,0.1034
5.5138,-8.0110,-1.4006,-0.1860,0.4106,0.1958
5.8323,-8.3773,-1.2809,-0.0666,0.4159,0.1673
6.8714,-8.1594,-2.1644,0.0970,0.5998,-0.5012
6.9695,-6.7397,-1.8890,0.2902,0.7245,-0.7144
5.1092,-7.3550,-1.2091,0.4642,0.2670,-0.4005
8.2528,-6.6008,1.2713,0.4719,0.7234,-0.5188
7.6351,-5.0374,3.5937,0.0256,0.7229,-0.2443
7.3263,-7.8362,3.5937,-0.4684,0.6723,0.2078
6.1866,-5.5498,1.3934,-0.3448,0.3312,-0.7384
6.0118,-5.9616,0.0694,-0.4407,0.0959,-0.6049
8.6550,-7.2472,-0.2610,-0.4088,0.2755,-0.6736
10.2639,-6.0310,1.0271,-0.8180,0.4053,-0.9230
8.3175,-5.3989,1.9752,-2.1972,0.6419,-0.4479
14.4634,-0.7111,1.3384,-1.4533,0.4085,-0.2100
9.6917,-2.6193,0.5459,-0.7200,0.3816,0.0576
10.1107,-0.6081,1.2163,-0.1252,-0.0469,-0.0893
10.1778,-0.9673,-0.2586,0.2825,-0.1543,0.1604
1.6472,0.0718,-0.5842,-0.7879,-0.5846,0.2337
10.0317,-6.7804,-1.6448,-2.1120,-0.1087,0.0464
10.0221,-6.0334,-0.6129,1.1791,0.6622,-0.0242
9.3182,-1.5083,0.9505,2.0981,0.5569,-0.1820
9.1195,-4.5538,0.4525,0.4183,-0.0464,-0.0258
8.5138,-3.6152,-0.5746,0.3698,-0.1604,-0.3054
9.3254,-2.8659,0.0287,0.3928,0.0749,-0.2502
10.1586,-3.2489,1.1013,0.2542,0.2289,0.0096
9.8402,-1.5993,0.6823,-0.4085,0.0421,0.0394
9.9407,-2.9999,-0.0982,-2.2540,-0.6363,0.3645
10.2831,-5.1427,0.7661,0.4756,0.3235,-0.3075
Samples stored: 141
9.2464,-3.1244,3.2034,0.3262,-0.0794,-0.0224
9.3350,-3.0550,3.1436,0.1929,-0.1340,-0.1061
9.5122,-3.1316,3.0119,0.1961,-0.1183,0.0317
9.5170,-2.9281,3.0574,0.1077,-0.0645,-0.0392
9.4834,-2.8108,3.0215,0.1721,-0.0775,-0.0490
9.6534,-3.3471,2.9568,0.1636,0.0032,-0.1348
