MPU6050 Found!
-0.22,-0.02
4.72,-8.66,-0.04,0.14,0.00,0.00
4.77,-8.71,-0.00,0.13,-0.00,0.01
4.75,-8.91,-0.04,0.12,0.00,0.01
4.80,-8.64,0.08,0.13,-0.00,0.01
4.83,-8.62,-0.05,0.13,0.00,0.00
4.86,-8.61,-0.12,0.11,-0.01,0.03
4.70,-8.70,-0.14,0.13,-0.00,0.01
4.78,-8.71,-0.06,0.13,0.00,0.02
4.74,-8.64,0.04,0.13,-0.00,0.01
4.75,-8.63,-0.04,0.14,0.00,-0.01
5.14,-9.33,0.55,0.14,-0.00,-0.02
4.41,-9.00,0.58,0.12,0.04,-0.06
4.74,-8.71,0.04,0.18,0.01,0.00
4.65,-8.67,-0.05,0.16,-0.00,0.02
4.72,-8.63,-0.03,0.13,-0.01,0.04
4.63,-8.69,-0.01,0.14,0.01,-0.01
4.70,-8.67,-0.02,0.14,-0.00,0.01
4.78,-8.67,-0.09,0.14,-0.00,0.01
4.74,-8.66,-0.09,0.14,-0.01,0.03
4.72,-8.67,-0.05,0.14,-0.00,0.02
4.74,-8.68,-0.04,0.14,-0.00,0.01
4.72,-8.67,0.02,0.13,-0.00,0.01
4.67,-8.71,0.05,0.13,0.00,0.01
4.80,-8.64,0.05,0.13,0.00,0.02
4.74,-8.70,0.01,0.14,-0.00,0.01
4.77,-8.67,-0.03,0.14,-0.00,0.00
4.80,-8.66,-0.02,0.14,0.00,0.01
4.72,-8.70,-0.01,0.13,-0.00,0.01
4.82,-8.66,0.01,0.13,-0.00,0.01
4.77,-8.67,0.00,0.13,-0.00,0.01
4.78,-8.67,-0.05,0.14,-0.00,0.01
4.78,-8.65,-0.02,0.14,-0.00,0.01
4.79,-8.67,-0.04,0.14,-0.00,0.01
4.75,-8.67,-0.02,0.13,-0.00,0.01
4.76,-8.65,0.00,0.13,-0.00,0.01
4.77,-8.67,-0.04,0.13,-0.00,0.01
4.77,-8.67,-0.01,0.13,-0.00,0.01
4.77,-8.67,-0.02,0.13,-0.00,0.01
4.75,-8.67,-0.04,0.13,-0.00,0.01
4.69,-8.70,-0.00,0.14,-0.00,0.01
4.72,-8.67,-0.01,0.13,-0.00,0.01
4.75,-8.69,-0.03,0.13,-0.00,0.00
4.73,-8.65,-0.03,0.13,0.00,0.00
